profile type,profile name,parameter name,parameter value
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.Common.Qhyst,4
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.Common.QHystSFMedium,0
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.Common.QHystSFHigh,0
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.Common.TEvaluation,60
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.Common.THystNormal,30
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.Common.NCellChangeMedium,4
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.Common.NCellChangeHigh,8
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IntraFreq.QRxLevMinSIB1,-60
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IntraFreq.QRxLevMinSIB3,-60
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IntraFreq.QRxLevMinOffset,1
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IntraFreq.SIntraSearch,30
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IntraFreq.TReselectionEUTRA,1
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IntraFreq.SNonIntraSearch,30
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IntraFreq.CellReselectionPriority,7
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IntraFreq.PMax,27
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IntraFreq.ThreshServingLow,3
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IntraFreq.TReselectionEUTRASFMedium,100
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IntraFreq.TReselectionEUTRASFHigh,75
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.1.EUTRACarrierARFCN,40978
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.1.QRxLevMinSIB5,-62
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.1.QOffsetFreq,0
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.1.TReselectionEUTRA,1
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.1.CellReselectionPriority,6
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.1.ThreshXHigh,2
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.1.ThreshXLow,2
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.1.PMax,23
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.1.TReselectionEUTRASFMedium,100
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.1.TReselectionEUTRASFHigh,75
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.2.EUTRACarrierARFCN,40620
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.2.QRxLevMinSIB5,-62
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.2.QOffsetFreq,0
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.2.TReselectionEUTRA,1
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.2.CellReselectionPriority,6
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.2.ThreshXHigh,2
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.2.ThreshXLow,2
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.2.PMax,23
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.2.TReselectionEUTRASFMedium,100
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.2.TReselectionEUTRASFHigh,75
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.3.EUTRACarrierARFCN,39850
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.3.QRxLevMinSIB5,-62
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.3.QOffsetFreq,0
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.3.TReselectionEUTRA,1
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.3.CellReselectionPriority,6
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.3.ThreshXHigh,2
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.3.ThreshXLow,2
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.3.PMax,23
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.3.TReselectionEUTRASFMedium,100
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.IdleMode.InterFreq.Carrier.3.TReselectionEUTRASFHigh,75
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.ConnMode.EUTRA.FilterCoefficientRSRP,4
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.ConnMode.EUTRA.FilterCoefficientRSRQ,4
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.ConnMode.EUTRA.GapPattern,gp0
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.ConnMode.IRAT.FilterCoefficientUTRA,4
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.ConnMode.IRAT.MeasQuantityUTRAFDD,cpich_rscp
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.MobilityZone.1.Name,Serving Mobility Zone
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.MobilityZone.1.MeasObjectIntra.Enabled,1
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.MobilityZone.1.MeasObjectIntra.QOffsetFreq,0
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.MobilityZone.1.MeasServing.1.Enabled,1
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.MobilityZone.1.MeasServing.1.Event,A2
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.MobilityZone.1.MeasServing.1.Action,ChangeToZone2
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.MobilityZone.1.A2.Enabled,1
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.MobilityZone.1.A2.TriggerQuantity,RSRP
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.MobilityZone.1.A2.Threshold,70
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.MobilityZone.1.A2.Hysteresis,2
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.MobilityZone.1.A2.TimeToTrigger,2048
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.MobilityZone.1.A2.ReportQuantity,SameAsTrigger
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.MobilityZone.1.A2.MaxReportCells,8
MobilityProfile,Boston_Mobility_SR4.5,ENBFunction.EUtranCellTDD.Mobility.MobilityZone.1.A2.ReportInterval,240
