profile type,profile name,parameter name,parameter value
NetworkProfile,Network_SR4.5,Ethernet.1.Alias,cpe-alias
NetworkProfile,Network_SR4.5,Ethernet.1.DuplexMode,Auto
NetworkProfile,Network_SR4.5,Ethernet.1.EEEEnable,0
NetworkProfile,Network_SR4.5,Ethernet.1.Enable,1
NetworkProfile,Network_SR4.5,Ethernet.1.LowerLayers,eth0
NetworkProfile,Network_SR4.5,Ethernet.1.MaxBitRate,1000
NetworkProfile,Network_SR4.5,IP.IPv4Enable.Device.IP.IPv4Enable,1
NetworkProfile,Network_SR4.5,IP.IPv6Enable.Device.IP.IPv6Enable,0
NetworkProfile,Network_SR4.5,IP.Diagnostics.DownloadDiagnosticsDiagnosticsState,None
NetworkProfile,Network_SR4.5,IP.Diagnostics.DownloadDiagnosticsInterface,IP.1
NetworkProfile,Network_SR4.5,IP.Diagnostics.DownloadDiagnosticsDSCP,0
NetworkProfile,Network_SR4.5,IP.Diagnostics.DownloadDiagnosticsEthernetPriority,0
NetworkProfile,Network_SR4.5,IP.Diagnostics.DownloadDiagnosticsTimeBasedTestDuration,0
NetworkProfile,Network_SR4.5,IP.Diagnostics.DownloadDiagnosticsTimeBasedTestMeasurementInterval,0
NetworkProfile,Network_SR4.5,IP.Diagnostics.DownloadDiagnosticsTimeBasedTestMeasurementOffset,0
NetworkProfile,Network_SR4.5,IP.Diagnostics.DownloadDiagnosticsProtocolVersion,Any
NetworkProfile,Network_SR4.5,IP.Diagnostics.DownloadDiagnosticsNumberOfConnections,1
NetworkProfile,Network_SR4.5,IP.Diagnostics.DownloadDiagnosticsEnablePerConnectionResults,0
NetworkProfile,Network_SR4.5,IP.Diagnostics.UploadDiagnosticsDiagnosticsState,None
NetworkProfile,Network_SR4.5,IP.Diagnostics.UploadDiagnosticsInterface,IP.1
NetworkProfile,Network_SR4.5,IP.Diagnostics.UploadDiagnosticsDSCP,0
NetworkProfile,Network_SR4.5,IP.Diagnostics.UploadDiagnosticsEthernetPriority,0
NetworkProfile,Network_SR4.5,IP.Diagnostics.UploadDiagnosticsTimeBasedTestDuration,0
NetworkProfile,Network_SR4.5,IP.Diagnostics.UploadDiagnosticsTimeBasedTestMeasurementInterval,0
NetworkProfile,Network_SR4.5,IP.Diagnostics.UploadDiagnosticsTimeBasedTestMeasurementOffset,0
NetworkProfile,Network_SR4.5,IP.Diagnostics.UploadDiagnosticsProtocolVersion,Any
NetworkProfile,Network_SR4.5,IP.Diagnostics.UploadDiagnosticsNumberOfConnections,1
NetworkProfile,Network_SR4.5,IP.Diagnostics.UploadDiagnosticsEnablePerConnectionResults,0
NetworkProfile,Network_SR4.5,IP.Diagnostics.UDPEchoDiagnosticsDiagnosticsState,None
NetworkProfile,Network_SR4.5,IP.Diagnostics.UDPEchoDiagnosticsInterface,IP.1
NetworkProfile,Network_SR4.5,IP.Diagnostics.UDPEchoDiagnosticsPort,10000
NetworkProfile,Network_SR4.5,IP.Diagnostics.UDPEchoDiagnosticsNumberOfRepetitions,1
NetworkProfile,Network_SR4.5,IP.Diagnostics.UDPEchoDiagnosticsTimeout,5000
NetworkProfile,Network_SR4.5,IP.Diagnostics.UDPEchoDiagnosticsDataBlockSize,24
NetworkProfile,Network_SR4.5,IP.Diagnostics.UDPEchoDiagnosticsDSCP,0
NetworkProfile,Network_SR4.5,IP.Diagnostics.UDPEchoDiagnosticsInterTransmissionTime,1000
NetworkProfile,Network_SR4.5,IP.Diagnostics.UDPEchoDiagnosticsProtocolVersion,Any
NetworkProfile,Network_SR4.5,IP.Diagnostics.UDPEchoDiagnosticsEnableIndividualPacketResults,0
NetworkProfile,Network_SR4.5,IP.Diagnostics.UDPEchoConfigEnable,1
NetworkProfile,Network_SR4.5,IP.Diagnostics.UDPEchoConfigInterface,IP.1
NetworkProfile,Network_SR4.5,IP.Diagnostics.UDPEchoConfigUDPPort,1000
NetworkProfile,Network_SR4.5,IP.Diagnostics.UDPEchoConfigEchoPlusEnabled,1
NetworkProfile,Network_SR4.5,IP.Diagnostics.TWAMPConfiguration.TOS.Device.IP.Diagnostics.X_001710_TWAMP.Configuration.TOS,0
NetworkProfile,Network_SR4.5,IP.Diagnostics.TWAMPConfiguration.DSCP.Device.IP.Diagnostics.X_001710_TWAMP.Configuration.DSCP,0
NetworkProfile,Network_SR4.5,IP.IPsec.Profile1.Alias,cpe-ipsec
NetworkProfile,Network_SR4.5,IP.IPsec.Profile1.IKEv2DeadPeerDetectionTimeout,
NetworkProfile,Network_SR4.5,IP.Interface.1.Enable,1
NetworkProfile,Network_SR4.5,IP.Interface.1.Alias,cpe-interface437
NetworkProfile,Network_SR4.5,IP.Interface.1.LowerLayers,eth7
NetworkProfile,Network_SR4.5,IP.Interface.1.Reset,0
NetworkProfile,Network_SR4.5,IP.Interface.1.MaxMTUSize,
NetworkProfile,Network_SR4.5,IP.Interface.1.Loopback,0
NetworkProfile,Network_SR4.5,IP.Interface.1.IPv4Address.1.Alias,cpe-ipv4address
NetworkProfile,Network_SR4.5,IP.Interface.1.IPv6Address.1.Alias,cpe-IPv6Address
NetworkProfile,Network_SR4.5,IP.Interface.1.IPv6Prefix.1.Alias,cpe-IPv6Prefix
NetworkProfile,Network_SR4.5,DNS.Enable.Enable,1
