profile type,profile name,parameter name,parameter value
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.1.dscp_outer,EF
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.1.dscp_inner,EF
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.1.rlc_mode,UM
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.1.t_poll_retransmit,5
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.1.poll_pdu,4
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.1.poll_byte,25
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.1.max_retx_threshold,1
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.1.t_reordering,40
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.1.t_status_prohibit,0
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.1.sn_field_length,5
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.1.discard_timer,1500
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.1.sn_size,7
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.1.rohc_max_cid,0
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.1.lc_priority,1
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.1.prioritised_bit_rate,8
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.1.bucket_size_duration,100
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.1.logicalChannelGroup,0
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.2.dscp_outer,CS3
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.2.dscp_inner,CS3
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.2.rlc_mode,UM
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.2.t_poll_retransmit,5
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.2.poll_pdu,4
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.2.poll_byte,25
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.2.max_retx_threshold,1
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.2.t_reordering,40
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.2.t_status_prohibit,0
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.2.sn_field_length,10
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.2.discard_timer,500
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.2.sn_size,12
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.2.rohc_max_cid,0
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.2.lc_priority,1
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.2.prioritised_bit_rate,8
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.2.bucket_size_duration,100
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.2.logicalChannelGroup,0
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.3.dscp_outer,CS2
