profile type,profile name,parameter name,parameter value
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.Enabled,1
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.SearchWindowSize,2
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.Present,1
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbRegistrationEnabled,1
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbRegistrationSid,123
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbRegistrationNid,1
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbRegistrationMultipleSid,1
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbRegistrationMultipleNid,1
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbRegistrationHomeReg,1
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbRegistrationForeignSidReg,1
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbRegistrationForeignNidReg,1
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbRegistrationParameterReg,1
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbRegistrationPowerUpReg,1
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbRegistrationPeriod,58
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbRegistrationZone,2
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbRegistrationTotalZone,7
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbRegistrationZoneTimer,1
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.PowerDownReg,0
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersPRev,6
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersMinPRev,1
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersAuth,1
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersMaxNumAltSo,2
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersPrefMsidType,3
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersMcc,310
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersImsi11_12,99
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersImsiTSupported,0
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersFpcFchInitSetptRc3,56
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersFpcFchInitSetptRc4,64
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersFpcFchInitSetptRc5,56
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersFpcFchInitSetptRc11,56
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersFpcFchInitSetptRc12,0
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersPilotInc,3
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersLpSec,18
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersLtmOff,2
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersDaylt,1
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersGcsnaL2AckTimer,10
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.CsfbParametersGcsnaSequenceContextTimer,30
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.ReselectionEnabled,0
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.TReselection,6
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.TReselectionScaleFactorsPresent,0
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.TReselectionScaleFactorsMedium,100
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.One_x.TReselectionScaleFactorsHigh,75
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.CDMA2000Band.BandClass,3
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.CDMA2000Band.Type,1xrtt
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.CDMA2000Band.CellReselectionPriority,5
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.CDMA2000Band.CellReselectionPriorityEnabled,1
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.CDMA2000Band.ThreshXHigh,6
MobilityCDMA2000Profile,MobilityCDMA2000_SR4.6,ENBFunction.EUtranCellTDD.Mobility.IdleMode.IRAT.CDMA2000.CDMA2000Band.ThreshXLow,6
