profile type,profile name,parameter name,parameter value,,,,
RadioProfile,Radio_B40_39841_SR4.6,ENBFunction.EUtranCellTDD.cellLocalId,0,,,,
RadioProfile,Radio_B40_39841_SR4.6,ENBFunction.EUtranCellTDD.plmnIdList,"[310120,310125,460460]",,,,
RadioProfile,Radio_B40_39841_SR4.6,ENBFunction.EUtranCellTDD.plmnIdListEnable,"[1,1,1]",,,,
RadioProfile,Radio_B40_39841_SR4.6,ENBFunction.EUtranCellTDD.plmnIdReservedforOperatorList,0,,,,
RadioProfile,Radio_B40_39841_SR4.6,ENBFunction.EUtranCellTDD.EAID,0,,,,
RadioProfile,Radio_B40_39841_SR4.6,ENBFunction.EUtranCellTDD.referenceSignalPower,-50,,,,
RadioProfile,Radio_B40_39841_SR4.6,ENBFunction.EUtranCellTDD.DLBandwidth,100,,,,
RadioProfile,Radio_B40_39841_SR4.6,ENBFunction.EUtranCellTDD.ULBandwidth,100,,,,
RadioProfile,Radio_B40_39841_SR4.6,ENBFunction.EUtranCellTDD.earfcnDl,38941,,,,
RadioProfile,Radio_B40_39841_SR4.6,ENBFunction.EUtranCellTDD.sfAssignment,2,,,,
RadioProfile,Radio_B40_39841_SR4.6,ENBFunction.EUtranCellTDD.specialSfPatterns,7,,,,
RadioProfile,Radio_B40_39841_SR4.6,ENBFunction.EUtranCellTDD.CellRestriction.CellBarred,0,,,,
RadioProfile,Radio_B40_39841_SR4.6,ENBFunction.EUtranCellTDD.tac,8738,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,0
