profile type,profile name,parameter name,parameter value
SONProfile,Boston_SON_SR4.6,anrEnabled,1
SONProfile,Boston_SON_SR4.6,pciEnabled,1
SONProfile,Boston_SON_SR4.6,mroEnabled,
SONProfile,Boston_SON_SR4.6,roEnabled,1
SONProfile,Boston_SON_SR4.6,ANRConfig.maxEutraNeighbours,64
SONProfile,Boston_SON_SR4.6,ANRConfig.maxUtraNeighbours,64
SONProfile,Boston_SON_SR4.6,ANRConfig.persistencyEnabled,1
SONProfile,Boston_SON_SR4.6,ANRConfig.rsrpThreshold,30
SONProfile,Boston_SON_SR4.6,ANRConfig.neighbourRemovalPolicy,highest_inactivity
SONProfile,Boston_SON_SR4.6,ANRConfig.inactivityTimeoutThreshold,86400
SONProfile,Boston_SON_SR4.6,ANRConfig.ipConflictResolutionEnabled,1
SONProfile,Boston_SON_SR4.6,ANRConfig.henbDiscriminatorType,pci
SONProfile,Boston_SON_SR4.6,ANRConfig.henbDiscriminatorPciRange,"488,503"
SONProfile,Boston_SON_SR4.6,ANRConfig.henbDiscriminatorEarfcnRange,
SONProfile,Boston_SON_SR4.6,ANRConfig.henbDiscriminatorCellIdRange,
SONProfile,Boston_SON_SR4.6,ANRConfig.hoFailuresBlackListThreshold,5
SONProfile,Boston_SON_SR4.6,ANRConfig.blacklistRemovalPeriod,300
SONProfile,Boston_SON_SR4.6,PCIConfig.pciRange,"0,63"
SONProfile,Boston_SON_SR4.6,PCIConfig.persistencyEnabled,1
SONProfile,Boston_SON_SR4.6,PCIConfig.conflictHandling,detection_and_resolution
SONProfile,Boston_SON_SR4.6,PCIConfig.conflictResolutionPolicy,lowest_cell_id
