profile type,profile name,parameter name,parameter value
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RRCTimers.T300,1000
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RRCTimers.T301,1500
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RRCTimers.T304EUTRA,2000
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RRCTimers.T310,2000
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RRCTimers.T311,5000
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RRCTimers.N310,20
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RRCTimers.N311,1
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RLC.SRB1.TPollRetransmit,45
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RLC.SRB1.PollPDU,0
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RLC.SRB1.PollByte,0
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RLC.SRB1.MaxRetxThreshold,32
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RLC.SRB1.TReordering,35
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RLC.SRB1.TStatusProhibit,45
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RLC.SRB2.TPollRetransmit,45
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RLC.SRB2.PollPDU,0
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RLC.SRB2.PollByte,0
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RLC.SRB2.MaxRetxThreshold,32
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RLC.SRB2.TReordering,35
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.RLC.SRB2.TStatusProhibit,45
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.TimeAlignmentTimerCommon,10240
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.AdditionalSpectrumEmission,1
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.ULCyclicPrefixLength,0
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.PRACH.RootSequenceIndex,0
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.PRACH.ConfigurationIndex,3
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.PRACH.HighSpeedFlag,0
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.PRACH.ZeroCorrelationZoneConfig,6
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.PRACH.FreqOffset,91
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.PRACH.NumberOfRaPreambles,56
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.PRACH.SizeOfRaGroupA,48
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.PRACH.MessageSizeGroupA,144
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.PRACH.MessagePowerOffsetGroupB,0
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.PRACH.PowerRampingStep,2
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.PRACH.PreambleInitialReceivedTargetPower,-110
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.PRACH.PreambleTransMax,10
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.PRACH.ResponseWindowSize,10
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.PRACH.ContentionResolutionTimer,64
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.PRACH.MaxHARQMsg3Tx,4
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.ULPowerControl.P0NominalPUSCH,-80
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.ULPowerControl.P0NominalPUCCH,-112
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.ULPowerControl.Alpha,80
RadioAdvancedProfile,RadioAdvanced_SR4.6,ENBFunction.EUtranCellTDD.ULPowerControl.DeltaFPUCCHFormat1,0
